id,isb_number,song_title,song_code,album,year,lyricist,composer,singer,musicians,picturized_on,category,transcribed_by,created_at,lyrics_text,film_imdb_id,film_wikidata_id,lyricist_imdb_ids,composer_imdb_ids,singer_imdb_ids,picturized_on_imdb_ids
32,1825,tuu ne o ra.Ngiile kaisaa jaaduu kiyaa,,Kudrat,1981,Majrooh,R D Burman,Lata,,"Hema Malini, Rajesh Khanna",,Himanshu Gupta,2024-12-06T23:25:26.470358+00:00,"%
tuu ne o ra.Ngiile kaisaa jaaduu kiyaa \-2
piiyaa piiyaa bole matavaalaa jiiaa

baaho.n me.n chhupaa ke ye kyaa kiyaa
o re piyaa o \threedots
tuu ne o ra.Ngiile kaisaa jaaduu kiyaa
piiyaa piiyaa bole matavaalaa jiiaa

paas bulaa ke, gale se lagaa ke
tuu ne to badal Daalii duniyaa
na_e hai.n nazaare, na_e hai.n ishaare
rahii no vo kal vaalii duniyaa
sapane dikhaake tuu ne ye kyaa kiyaa
o re piyaa o \threedots
tuu ne o ra.Ngiile kaisaa jaaduu kiyaa
piiyaa piiyaa bole matavaalaa jiiaa

(o mere saajan kaisii ye dha.Dakan
 shor machaane lagii man me.n
 jaise laharaae nadiyaa kaa paanii
 lahar uThe re mere tan me.n)   \-2
mujh me.n samaa ke ye kyaa kiyaa
o re piyaa o \threedots
tuu ne o ra.Ngiile kaisaa jaaduu kiyaa
piiyaa piiyaa bole matavaalaa jiiaa

baaho.n me.n chhupaa ke ye kyaa kiyaa
o re piyaa o \threedots
%",,,,,,
33,11864,mai.n tujhase milane aa_ii ma.ndir jaane ke bahaane,,Heeraa,1973,Indeevar,Kalyanji-Anandji,"Rafi, Lata",,"Sunil Dutt, Asha Parekh, Farida Jalal, Shatrughan Sinha, Helen",,BOL ANAMOL #11215 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
la \:	mai.n tujhase milane aa_ii ma.ndir jaane ke bahaane \-2
	baabul se jhuuTh bolii sakhiyo.n se jhuuTh bolii
	mai.n ban ga_ii bilkul bholii
ra \:	are o bholii tuu jhuuTh nahii.n bolii tuu jhuuTh kahaa.N bolii
	pyaar ko hii puujaa kahate hai.n pyaar ke paravaane
la \:	mai.n tujhase milane \threedots

ra \:	ho aa.Nkho.n me.n jab terii suurat phir ko_ii muurat kyaa hai
	pyaar kiyaa hai jisane use puujaa kii zaruurat kyaa hai
la \:	maine saaraa jiivan kar diyaa tujhako arpaN
	ho ga_ii mai.n terii miiraa tujhako maan liyaa mohan
	na jaane kyaa dekhaa tujhame.n nain hu_e diivaane
la \:	mai.n tujhase milane \threedots

la \:	ho Gair ke haath me.n naa de de.n kahii.n baabul merii bai.nyaa
	chaal samay kii pahachaano tum Kud ko badalo sai.nyaa
ra \:	kisame.n itanaa hai bal chhuu le jo teraa aa.Nchal
	tuu hamaarii hogii apanaa daavaa hai aTal
	mo.D de.n ham to samay kii dhaaraa aise hai.n mastaane
la \:	mai.n tujhase milane \threedots
%",,,,,,
34,12297,mere dil kaa vo shahazaadaa,,Kabhi Na Kabhi,1997,Javed Akhtar,A R Rahman,Asha,,"Jackie Shroff, Pooja Bhatt, Anil Kapoor",,"BOL ANAMOL #12381 [V S Rawat], 01/02/2004",2024-12-06T23:25:26.470358+00:00,"%
mere dil kaa vo shahazaadaa meraa dilabar meraa premii
%(he is the prince of my heart, he is my beloved, and my lover)

kabhii na kabhii to aayegaa vo kabhii na kabhii mai.n banuu.Ngii usakii
%(someday he will come, someday i will become his)

mere dil kaa vo shahazaadaa meraa dilabar meraa premii
kabhii na kabhii to aayegaa vo kabhii na kabhii mai.n banuu.Ngii usakii

duniyaa me.n vo sabase pyaaraa merii qismat kaa vo taaraa
%(he the the loveliest one in the vorld, he is the star of my fate)

mere dil kaa vo shahazaadaa meraa dilabar meraa premii
kabhii na kabhii to aayegaa vo kabhii na kabhii mai.n banuu.Ngii usakii
ho duniyaa me.n vo sabase pyaaraa merii qismat kaa vo taaraa

kaun hai vo nahii.n jaanuu.N mai.n usako jaanuu.N naa pahachaanuu.N mai.n
%(who is he i don't know, i neither know him nor i recognise him)

karuu.N kyaa ye bataa kaise nikalegaa aramaa.N dil se
%(what do i do, tell me, how the desire will go away from the heart)

kaise jaa ke milegaa ma.nzil se raastaa ye bataa
%(how my path will reach the destination, tell me this)

mere dil kaa vo shahazaadaa meraa dilabar meraa premii
kabhii na kabhii to aayegaa vo kabhii na kabhii mai.n banuu.Ngii usakii
ho duniyaa me.n vo sabase pyaaraa merii qismat kaa vo taaraa

kaun hai kis se hogaa pyaar mujhe \-2
%(who is he, with whom will i fall in love)

jaane.n kis kaa hai i.ntazaar mujhe
%(i don't know whom i am waiting for)

jaane.n

merii hairaanii merii pareshaanii samajhe naa
%(he does not understand my amazement, my trouble)

kisako mai.n chaahuu.N ye bhii nahii.n jaanuu.N samajhe naa
%(i don't know whom i love, he does not understand)

tum hii kaho jaa_uu.N kahaa.N usakaa na ko_ii pataa na ko_ii nishaa.N
%(you tell me where do i go, his address is not available, nor any clue about him)

phir bhii meraa dil kahataa hai sapano.n me.n jo rahataa hai
%(then also my heart says that who lives in my dreams)

ik na ik din to vo milane aayegaa
%(one day he will come to meet me)

mere dil kaa vo shahazaadaa meraa dilabar meraa premii
kabhii na kabhii to aayegaa vo kabhii na kabhii mai.n banuu.Ngii usakii aa a aa
ho
duniyaa me.n vo sabase pyaaraa merii qismat kaa vo taaraa

mere dil kaa vo shahazaadaa meraa dilabar meraa premii
%",,,,,,
35,rmim0003,chalii aaj gorii piyaa kii nagariyaa,,Godaan,1963,Anjaan,Ravi Shankar,Lata,,"Rajkumar, Kamini Kaushal, Mehmood",,Abhay Phadnis,2024-12-06T23:25:26.470358+00:00,"%
chalii aaj gorii piyaa kii nagariyaa \-2
ma.Ngiyaa me.n si.nduur o.Dhe chunariyaa \-2
chalii aaj gorii piyaa kii nagariyaa ..

dulaaro.n se paalii ye komal kalii sii \-2
chhipii maa.N ke aa.Nchal me.n jaisii Darii sii
wo hii aaj jaa_e paraa_ii nagariyaa ..1..

a.Nkhiyo.n me.n aa.Nsuu hai.n saa.Nso.n me.n aa.Ndhii \-2
sajan se milan ko sajaniyaa hai jaatii
naino.n se tham tham ke barase badariyaa ..2..

chalii aaj gorii piyaa kii nagariyaa
%",,,,,,
36,11085,jaaduu saa chhaane lagaa ... ye dil kyaa kare,,Dil Kyaa Kare,1999,Anand Bakshi,Jatin Lalit,"Udit Narayan, Alka Yagnik/ Kumar Sanu, Alka Yagnik",,"Ajay Devgan, Kajol, Mahima Chaudhary",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
%Part 1:
%
jaaduu saa chhaane lagaa paagal banaane lagaa
kuchh yaad aane lagaa kuchh bhuul jaane lagaa
kyaa naa kare kyaa kare ye dil kyaa kare

diivaanaa paagal saa dil aa.Nkho.n me.n kaajal saa dil
laharaate aa.Nchal saa dil zulfo.n me.n baadal kaa dil
tarase na ye barase na ye
ye dil kyaa kare \threedots

tumase churaa le.n tumhe.n sabase chhupaa le.n tumhe.n
jaa.n se lagaa le.n tumhe.n sapanaa banaa le.n tumhe.n
mai.n betaab huu.N tuu bechain hai
ye dil kyaa kare \threedots
%
%Part 2:
%
bhuulaa fasaanaa ko_ii guzaraa zamaanaa ko_ii
saathii puraanaa ko_ii banake bahaanaa ko_ii
agar dil me.n yuu.n samaa jaa_e to
ye dil kyaa kare \threedots

is paar rah naa sake us paar jaa naa sake
khaamosh rah naa sake jo chaahe kah naa sake
ye paagal samaa.n ye mausam javaa.n
ye dil kyaa kare \threedots
%",,,,,,
37,514,dil ko lagaakar hamane,,Anokhi Ada,,Shakeel,Naushad,Uma Devi,,"Surendra, Naseem Bano, Murad, Cuckoo",,Pavan Kumar Desikan,2024-12-06T23:25:26.470358+00:00,"%

(dil ko lagaake hamane, kuchh bhii naa paayaa 
chain gavaayaa)\-2

Gam kaa fasaanaa kyaa sunaaye.n, 
kah naa paaye.n 
haa.N haa.N
Gam kaa\threedots paaye.n

ye bhii naa sochaa haay bhuul ke\-2
jis bevafaa ko apanaa banaayaa, hai vo paraayaa
dil ko lagaake \threedots gavaayaa

aa.Nkho.n se dil khaaye dhokhe chup roke\-2
o duniyaa basii naa haay pyaar kii\-2
kaise bitaaye, rog lagaayaa, jii ko jalaayaa
dil ko\threedots gavaayaa

de ke sahaaraa mujhako jhuuTaa, tumane luuTaa\-2
bhuulii kahaanii hai chhe.D dii\-2
teraaa fasaanaa yaad naa aayaa, ha.Nsake rulaayaa
dil ko \threedots gavaayaa

%",,,,,,
38,11874,priit jagaa ke miit banaa ke bhuul na jaanaa,,Hulchul,1951,Khumar Barabankwi,Mohammed Shafi,"Rafi, Lata",,"Dilip Kumar, Nargis, Balraj Sahni",,BOL ANAMOL #10329 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
la \:	priit jagaa ke miit banaa ke bhuul na jaanaa
ra \:	suno jii bhuul naa jaanaa
	priit jagaa ke miit banaa ke bhuul na jaanaa
la \:	suno jii bhuul naa jaanaa

ra \:	ho samaa.N hai pyaar kaa rut hai suhaanii
la \:	dulhan banii hai raat kii raanii \-2
ra \:	jiivan biinaa jab tak baaje ho yuu.N hii hilamil gaanaa
la \:	suno jii bhuul naa jaanaa

	phuul na kumhalaa jaa_e khil ke \-2
ra \:	ho naa judaa ( aapas me.n mil ke )  \-2
la \:	dha.Dakan ban ke dil me.n rahanaa aa.Nkho.n me.n bas jaanaa
ra \:	suno jii bhuul naa jaanaa

ra \:	aa badal naa jaanaa jag ke Dar se
la \:	bane hai.n saathii jiivan bhar ke \-2
ra \:	priit kii dushman hai ye duniyaa ho duniyaa ko Thukaraanaa
la \:	suno jii bhuul naa jaanaa
do \:	priit jagaa ke \threedots
%",,,,,,
39,12287,mai.n to dillii se dulahan laayaa re ai baabuu jii,,Jhoola,1941,Pradeep,Saraswati Devi,"Arun Kumar, Rehmat Bano",,"Ashok Kumar, Leela Chitnis",,BOL ANAMOL #11994 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
a \:	( mai.n to dillii se dulahan laayaa re
	ai baabuu jii ) \-2
ra \:	( meraa bamba_ii se baalam aayaa re
	ai baabuu jii ) \-2
a \:	mai.n to dillii se dulahan laayaa re
	ai baabuu jii

a \:	( biiwii merii naazuk
ra \:	sajan alabelaa ) \-2
do \:	naye zamaane ke majanuu\-o\-lailaa \-2
	( sone me.n suhaagaa milaayaa re
	ai baabuu jii ) \-2

ra \:	baabuu jii mai.n huu.N saudaagar kii chhorii \-2
	hoy sai.nyaa ne kar lii mere dhan kii chorii
a \:	he.n chorii kaisii chorii
ra \:	inane gupachup 
	( inane gupachup meraa dil churaayaa re
	ai baabuu jii ) \-2
ra \:	meraa bamba_ii se baalam aayaa re
	ai baabuu jii

a \:	baabuu jii itanii araj suno morii \-2
	are maine kal hii to dillii me.n
	( isake baap kaa karajaa chukaayaa re
	ai baabuu jii ) \-2

ra \:	mere baap kaa naam na lenaa
	jhuuTho.n ke saradaar
	varanaa taanaa duu.Ngii
	gaalii biis hazaar
	dekho\-dekho jii
	dekho\-dekho jii hazaar
	hamako chhe.Do naa bekaar
	( varanaa meraa bhii gussaa savaayaa re
	ai baabuu jii ) \-2

a \:	( pyaarii gu_iyaa.N aa_o aa_o
	saarii baate.n bhul jaa_o ) \-2
ra \:	bolo merii qasam
a \:	haa.N haa.N
ra \:	haa.N haa.N haa.N
	bolo.n merii qasam
a \:	haa.N haa.N
	terii qasam
	tere bhaa_ii kii qasam
	terii ammaa kii qasam
	tere baap kii qasam
do \:	( aaj mausam salonaa aayaa re
	ai baabuu jii ) \-2
%",,,,,,
40,1835,unhe.n tuu bhuul jaa ai dil,,Naya Ghar,,Hasrat,Shankar-Jaikishan,Talat,,,,K Vijay Kumar,2024-12-06T23:25:26.470358+00:00,"%
unhe.n tuu bhuul jaa ai dil
ta.Dapane se bhii kyaa haasil
 
nazaare kar gay jaaduu
nigaahe.n de gayii.n dhokhaa
uThe tuufaan kuchh aise ki Duube pyaar ke saahil
 
hazaaro.n aarazuuo.n se
basaayaa jisako pahaluu me.n
jise samajhe the ham dilabar, vah nikalaa sa.ng dil qaatil
 
na jaane kaisii raaho.n par
chalii hai zindagii merii
ki jiinaa hii nahii.n ab to, meraa maranaa bhii hai mushkil
 
unhe.n tuu bhuul jaa ae dil
%",,,,,,
41,rmim0013,sunii jo unake aane kii aahaT,,Satyam Shivam Sundaram,1978,Narendra Sharma,Laxmikant-Pyarelal,"Lata, Chorus",,"Shashi Kapoor, Zeenat Aman",,Abhay Phadnis,2024-12-06T23:25:26.470358+00:00,"%
sunii jo unake aane kii aahaT
GariibaKaanaa sajaayaa hamane
qadam mubaarak hamaare dar pe
nasiib apanaa jagaayaa hamane

hu_ii hai aamad Kushaamadiidam
ye kahanaa dil ko sikhaayaa hamane
khile hai.n aashaa ke phuul man me.n
ye raaz unase chhupaayaa hamane

vo apane netaa ham unakii janataa
hameshaa naataa nibhaayaa hamane
ye terii rahamat ai mere maalik
gumaa.N nahii.n thaa vo paayaa hamane

sunii jo unake \threedots
%",,,,,,
